Lebensmittel schuld an europäischer Inflation	Food: Where European inflation slipped up	Food is to blame for European inflation
"Solche Patienten werden isoliert, das Pflegepersonal trägt Gummihandschuhe und Masken bei der Versorgung, und wir verfügen über die für die Behandlung notwendigen Antibiotika" - so Tibor Nyulasi.	"We isolate patients with MRSA and nursing staff wear rubber gloves and masks when working with infected patients. We also have the appropriate antibiotics needed to treat them," says Nyulasi.	'Such patients are isolated, the carers are wearing rubber shoes and masks in their care and we have the antibiotics needed to treat them '- Tibor Nyulasi.
Bei ihrer Einlieferung ins Krankenhaus werden die Patienten zwar auf MRSA untersucht, eine Infektion kann dennoch nicht immer vermieden werden.	When a patient is admitted to the hospital, one of the first things done is to check for the presence of MRSA, but hospitals are still vulnerable to infection.	When they are admitted to hospital, patients are examined on MRSA, but infection cannot always be avoided.
Probenentnahmen zu selten	Testing for the staph isn't fashionable	Surveys are too rare.
Die Mehrheit der durch MRSA ausgelösten Infektionen in Krankenhäusern wäre vermeidbar, allerdings seien die derzeit herrschenden Bedingungen und Umstände ungünstig für die Eindämmung der Entstehung oder der Ausbreitung des multiresistenten Erregers, sagt Karolina Böröcz.	The vast majority of nosocomial MRSA-induced infections could be prevented said Böröcz. However, she added that current hospital conditions are not conducive to preventing the evolvement and spread of antibiotic-resistant infections.	The majority of infections in hospitals caused by MRSA would be avoidable, but the current conditions and circumstances are unfavourable to curbing the emergence or spread of the multi-resistant agent, says Karolina Börcz.
Nachdem diese Infektion vorwiegend in Krankenhäusern und Altersheimen vorkommt, sollten die Spitäler die eingelieferten Patienten untersuchen und MRSA-infizierte sofort isolieren.	Since this type of infection typically occurs in hospitals and nursing homes, hospitals should routinely check all newly admitted patients and immediately isolate MRSA carriers.	Since this infection occurs mainly in hospitals and old age homes, the sponsors should investigate the patients who have been sent in and immediately isolate those infected by MRSA.
In den ungarischen Krankenhäusern wird die mikrobiologische Probenentnahme jedoch nicht so häufig praktiziert.	But, taking microbiological samples from patients is not fashionable in Hungarian hospitals.	However, in Hungarian hospitals, microbiological sampling is not practised so often.
Nicht zuletzt weil es vonseiten der staatlichen Krankenkasse keine Zuschüsse für diese Untersuchung gibt.	One reason is that the National Health Insurance Fund does not cover the costs of these tests.	Not least because there is no subsidy from the state health insurance fund for this investigation.
Die meisten Fälle kämen daher erst dann ans Tageslicht, wenn der Patient schon eine bemerkbare MRSA-Infektion hat, so die ärztliche Leiterin des Epidemiologiezentrums.	In most cases the bacteria remain unnoticed unless the patient has an obvious MRSA infection, said the National Centre for Epidemiology physician-in-chief.	Most cases would therefore only come to light when the patient has already had a noticeable MRSA infection, according to the doctor head of the epidemiological centre.
Vonseiten der Europäischen Union gibt es strikte Empfehlungen zur entsprechenden Anwendung von Antibiotika in der Humanmedizin, es gibt aber auch in Ungarn Richtlinien für die Behandlung bestimmter Infektionen und Krankheitsbilder.	The European Union has stringent protocols on the appropriate use of antibiotics in human medicine and Hungary has its own guidelines on treating various infections and pathologies.	The European Union has made strict recommendations on the appropriate use of antibiotics in human medicine, but Hungary too has directives on the treatment of certain infections and pathologies.
Antibiotika-Therapien sollen zielgerichtet sein, das heißt, mikrobiologische Untersuchungen sind notwendig, damit sich keine Resistenz gegen das Mittel bilden kann, allerdings wird diese Direktive von Krankenhäusern auch nicht immer eingehalten.	The goal should be targeted therapy, meaning that microbiology tests should be conducted to prevent resistance from evolving, but hospitals do not always keep to this.	Antibiotic treatments should be targeted, which means that microbiological tests are necessary to prevent resistance to the product, but this directive from hospitals is not always complied with.
Unter den ambulanten, oder sich in der Grundversorgung befindlichen Patienten seien mikrobiologische Probenentnahmen sogar noch seltener, so Karolina Böröcz.	It is even rarer to take a microbiology sample among outpatients in primary or specialized care, Böröcz added.	Microbial sampling is even more rare among patients, or those on basic care, as Karolina Börcz puts it.
Gespart wird bei den Desinfektionsmitteln	Saving money by cutting back on disinfectants	Disinfectious agents
Wissenschaftliche Beweise belegen, dass MRSA von einem Patienten auf den anderen am häufigsten vom Pflegepersonal übertragen wird.	Scientific evidence shows that the most common way MRSA is transferred from one patient to another through healthcare personnel who carry it from patient to patient.	Scientific evidence shows that MRSA is most often transferred from one patient to another by care staff.
Gerade deshalb kommt dem Händewaschen, oder dem Tragen von Handschuhen und Masken eine große Bedeutung zu, allerdings gibt es auch auf diesem Gebiet erhebliche Mängel in den Krankenhäusern.	Therefore, washing hands, and wearing gloves and masks play a significant role in prevention, but here again, we find many shortcomings in hospital practices.	This is precisely why handwashing, or the wearing of gloves and masks, is of great importance, but there are also major deficiencies in hospitals in this area.
MRSA wird durch Tröpfcheninfektion oder Kontakt übertragen, in den heimischen Krankenhäusern besteht aber nicht immer die Möglichkeit, den infizierten Patienten zu isolieren.	MRSAs are transmitted through physical contact and body fluids. Under domestic hospital conditions, an infected patient cannot always be isolated.	MRSA is transmitted by cremation or contact, but in domestic hospitals there is not always the possibility of isolating the infected patient.
Die Zimmer sind sogar oft überfüllt, die Betten knapp aneinander gereiht, obwohl es zwischen ihnen aus epidemiologischer Sicht einen Abstand von mindestens 1,5 Meter geben sollte.	In fact, hospital wards are often overcrowded, with beds too close to one another although they should be at least 1.5 metres apart to conform to epidemiological requirements.	The rooms are even often overcrowded, and beds are almost matured, although from an epidemiological point of view there should be a distance of at least 1.5 metres.
Wie Karolina Böröcz weiter anmerkt, kommt es leider in den finanziell weniger gut gestellten Krankenhäusern sogar vor, dass bei Desinfektionsmitteln gespart wird, es gibt wenige Pfleger, viele Patienten - alles Faktoren, die die Entstehung von Infektionen geradezu begünstigen.	Sadly, we also find that when hospitals are short on funds they tend to save on disinfectants, said Böröcz, adding that with a shortage of nursing staff and too many patients, chances of infection increase.	Unfortunately, as Karolina Böröcz continues to point out, even in hospitals with less financial resources, there are few depositors, many patients - all factors that actually encourage the emergence of infections.
Solche Infektionen sind dort nachweislich weit weniger häufig, beziehungsweise kann die weitere Verbreitung des Erregers aufgehalten werden, wo diese Schutzmaßnahmen eingehalten werden, so Karolina Böröcz.	According to Böröcz, there are demonstrably fewer infections, and those that occur are easier to prevent from spreading, in hospitals that take appropriate protective measures.	It is evident that these infections are far less frequent in the country, or that the further spread of the pathogen can be stopped where these protective measures are being observed, as Karolina Böröcz has said.
Regierungsprogramm gegen MRSA	Government programme to combat MRSA	Government programme against MRSA
MRSA-Infektionen in den Griff zu bekommen verursacht den Krankenversicherungen enorme Kosten, daher werden sie überall bekämpft.	Treating MRSA infections costs the health insurer huge amounts of money, so efforts should be made everywhere to keep them from occurring in the first place.	Tackling MRA infections is costing medical insurance a great deal, so they are being fought everywhere.
